Date,Open,High,Low,Close,Adj Close,Volume
2019-01-14,40450.000000,40700.000000,39850.000000,40050.000000,35257.992188,11984996
2019-01-15,40050.000000,41100.000000,39850.000000,41100.000000,36182.363281,11492756
2019-01-16,41150.000000,41450.000000,40700.000000,41450.000000,36490.484375,8491595
2019-01-17,41700.000000,42100.000000,41450.000000,41950.000000,36930.648438,11736903
2019-01-18,42000.000000,42400.000000,41950.000000,42300.000000,37238.777344,11029256
2019-01-21,42700.000000,42750.000000,41900.000000,42750.000000,37634.933594,11355701
2019-01-22,42750.000000,42850.000000,41850.000000,42150.000000,37106.726563,9964356
2019-01-23,41350.000000,42250.000000,41350.000000,42000.000000,36974.675781,11071079
2019-01-24,43050.000000,43100.000000,42350.000000,43050.000000,37899.046875,14747623
2019-01-25,44300.000000,44750.000000,43750.000000,44750.000000,39395.636719,22789395
2019-01-28,45000.000000,45500.000000,44600.000000,45050.000000,39659.734375,17998914
2019-01-29,45050.000000,45500.000000,44350.000000,45500.000000,40055.890625,16215017
2019-01-30,44800.000000,46400.000000,44800.000000,46400.000000,40848.207031,17505980
2019-01-31,46650.000000,47050.000000,46150.000000,46150.000000,40628.121094,21621145
2019-02-01,46650.000000,46950.000000,46250.000000,46350.000000,40804.191406,13832454
2019-02-07,46800.000000,47100.000000,46200.000000,46200.000000,40672.144531,15872001
2019-02-08,45700.000000,45700.000000,44650.000000,44800.000000,39439.656250,12689196
2019-02-11,44500.000000,45000.000000,44250.000000,45000.000000,39615.718750,11125044
2019-02-12,44650.000000,46250.000000,44650.000000,46050.000000,40540.078125,13184367
2019-02-13,46400.000000,46700.000000,46000.000000,46200.000000,40672.144531,11299738
2019-02-14,46600.000000,47500.000000,46150.000000,47500.000000,41816.593750,17259341
2019-02-15,46750.000000,46850.000000,45650.000000,46050.000000,40540.078125,10554643
2019-02-18,46500.000000,46850.000000,45850.000000,46200.000000,40672.144531,8183728
2019-02-19,45850.000000,46150.000000,45450.000000,45950.000000,40452.050781,6741395
2019-02-20,46750.000000,47100.000000,46500.000000,46900.000000,41288.390625,11506720
2019-02-21,46500.000000,47200.000000,46200.000000,46950.000000,41332.402344,8694009
2019-02-22,46500.000000,47150.000000,46450.000000,47150.000000,41508.472656,6895772
2019-02-25,47400.000000,47550.000000,47050.000000,47350.000000,41684.546875,7484716
2019-02-26,47350.000000,47450.000000,46500.000000,46750.000000,41156.332031,7985547
2019-02-27,47000.000000,47250.000000,46750.000000,46750.000000,41156.332031,8045211
